City,country,source,wikipedia_url
São Paulo,Brazil,table,
Rio de Janeiro,Brazil,table,
Brasília,Brazil,table,
Fortaleza,Brazil,table,
Salvador,Brazil,table,
Belo Horizonte,Brazil,table,
Manaus,Brazil,table,
Curitiba,Brazil,table,
Recife,Brazil,table,
Goiânia,Brazil,table,
Belém,Brazil,table,
Porto Alegre,Brazil,table,
Guarulhos,Brazil,table,
Campinas,Brazil,table,
São Luís,Brazil,table,
Maceió,Brazil,table,
São Gonçalo,Brazil,table,
Campo Grande,Brazil,table,
Teresina,Brazil,table,
João Pessoa,Brazil,table,
Duque de Caxias,Brazil,table,
Nova Iguaçu,Brazil,table,
São Bernardo do Campo,Brazil,table,
Natal,Brazil,table,
Santo André,Brazil,table,
Sorocaba,Brazil,table,
Osasco,Brazil,table,
Uberlândia,Brazil,table,
Ribeirão Preto,Brazil,table,
São José dos Campos,Brazil,table,
Jaboatão dos Guararapes,Brazil,table,
Cuiabá,Brazil,table,
Feira de Santana,Brazil,table,
Joinville,Brazil,table,
Contagem,Brazil,table,
Aracaju,Brazil,table,
Londrina,Brazil,table,
Florianópolis,Brazil,table,
Serra,Brazil,table,
Juiz de Fora,Brazil,table,
Aparecida de Goiânia,Brazil,table,
Campos dos Goytacazes,Brazil,table,
Belford Roxo,Brazil,table,
Niterói,Brazil,table,
Porto Velho,Brazil,table,
Ananindeua,Brazil,table,
Vila Velha,Brazil,table,
São José do Rio Preto,Brazil,table,
Macapá,Brazil,table,
Caxias do Sul,Brazil,table,
Boa Vista,Brazil,table,
Mogi das Cruzes,Brazil,table,
São João de Meriti,Brazil,table,
Jundiaí,Brazil,table,
Campina Grande,Brazil,table,
Piracicaba,Brazil,table,
Montes Claros,Brazil,table,
Santos,Brazil,table,
Mauá,Brazil,table,
Betim,Brazil,table,
Maringá,Brazil,table,
Anápolis,Brazil,table,
Petrolina,Brazil,table,
Diadema,Brazil,table,
Caruaru,Brazil,table,
Carapicuíba,Brazil,table,
Vitória da Conquista,Brazil,table,
Bauru,Brazil,table,
Rio Branco,Brazil,table,
Itaquaquecetuba,Brazil,table,
Blumenau,Brazil,table,
Caucaia,Brazil,table,
Cariacica,Brazil,table,
Ponta Grossa,Brazil,table,
Praia Grande,Brazil,table,
Olinda,Brazil,table,
Franca,Brazil,table,
Cascavel,Brazil,table,
Paulista,Brazil,table,
Canoas,Brazil,table,
Santarém,Brazil,table,
Uberaba,Brazil,table,
São José dos Pinhais,Brazil,table,
Ribeirão das Neves,Brazil,table,
Vitória,Brazil,table,
São Vicente,Brazil,table,
Pelotas,Brazil,table,
Barueri,Brazil,table,
Palmas,Brazil,table,
Taubaté,Brazil,table,
Camaçari,Brazil,table,
Suzano,Brazil,table,
Várzea Grande,Brazil,table,
Juazeiro do Norte,Brazil,table,
Limeira,Brazil,table,
Parauapebas,Brazil,table,
Foz do Iguaçu,Brazil,table,
Petrópolis,Brazil,table,
Guarujá,Brazil,table,
São José,Brazil,table,
Sumaré,Brazil,table,
Marabá,Brazil,table,
Itajaí,Brazil,table,
Cotia,Brazil,table,
Imperatriz,Brazil,table,
Taboão da Serra,Brazil,table,
Santa Maria,Brazil,table,
Volta Redonda,Brazil,table,
Mossoró,Brazil,table,
Chapecó,Brazil,table,
Gravataí,Brazil,table,
Parnamirim,Brazil,table,
Indaiatuba,Brazil,table,
São Carlos,Brazil,table,
Macaé,Brazil,table,
Dourados,Brazil,table,
Embu das Artes,Brazil,table,
Rondonópolis,Brazil,table,
São José de Ribamar,Brazil,table,
Juazeiro,Brazil,table,
Araraquara,Brazil,table,
Jacareí,Brazil,table,
Maracanaú,Brazil,table,
Hortolândia,Brazil,table,
Americana,Brazil,table,
Marília,Brazil,table,
Palhoça,Brazil,table,
Magé,Brazil,table,
Arapiraca,Brazil,table,
Divinópolis,Brazil,table,
Itapevi,Brazil,table,
Colombo,Brazil,table,
Águas Lindas de Goiás,Brazil,table,
Itaboraí,Brazil,table,
Cabo Frio,Brazil,table,
Rio Verde,Brazil,table,
Sete Lagoas,Brazil,table,
Novo Hamburgo,Brazil,table,
Ipatinga,Brazil,table,
Presidente Prudente,Brazil,table,
Viamão,Brazil,table,
Santa Luzia,Brazil,table,
São Leopoldo,Brazil,table,
Criciúma,Brazil,table,
Luziânia,Brazil,table,
Lauro de Freitas,Brazil,table,
Cabo de Santo Agostinho,Brazil,table,
Sinop,Brazil,table,
Sobral,Brazil,table,
Passo Fundo,Brazil,table,
Valparaíso de Goiás,Brazil,table,
Maricá,Brazil,table,
Rio Claro,Brazil,table,
Araçatuba,Brazil,table,
Castanhal,Brazil,table,
Nova Friburgo,Brazil,table,
Nossa Senhora do Socorro,Brazil,table,
Rio Grande,Brazil,table,
Cachoeiro de Itapemirim,Brazil,table,
Itabuna,Brazil,table,
Jaraguá do Sul,Brazil,table,
Alvorada,Brazil,table,
Santa Bárbara d'Oeste,Brazil,table,
Ilhéus,Brazil,table,
Guarapuava,Brazil,table,
Ferraz de Vasconcelos,Brazil,table,
Bragança Paulista,Brazil,table,
Timon,Brazil,table,
Linhares,Brazil,table,
Barra Mansa,Brazil,table,
Araguaína,Brazil,table,
Porto Seguro,Brazil,table,
Angra dos Reis,Brazil,table,
Mesquita,Brazil,table,
Ibirité,Brazil,table,
Teresópolis,Brazil,table,
Itu,Brazil,table,
São Caetano do Sul,Brazil,table,
Pindamonhangaba,Brazil,table,
Lages,Brazil,table,
Poços de Caldas,Brazil,table,
Francisco Morato,Brazil,table,
Abaetetuba,Brazil,table,
Barreiras,Brazil,table,
Senador Canedo,Brazil,table,
Parnaíba,Brazil,table,
Jequié,Brazil,table,
Rio das Ostras,Brazil,table,
Patos de Minas,Brazil,table,
Atibaia,Brazil,table,
Itapecerica da Serra,Brazil,table,
Itapetininga,Brazil,table,
Caxias,Brazil,table,
Santana de Parnaíba,Brazil,table,
Fazenda Rio Grande,Brazil,table,
Pouso Alegre,Brazil,table,
Alagoinhas,Brazil,table,
Araucária,Brazil,table,
Mogi Guaçu,Brazil,table,
Santa Rita,Brazil,table,
Toledo,Brazil,table,
Camaragibe,Brazil,table,
Nilópolis,Brazil,table,
Teixeira de Freitas,Brazil,table,
Paço do Lumiar,Brazil,table,
Brusque,Brazil,table,
Garanhuns,Brazil,table,
Trindade,Brazil,table,
Botucatu,Brazil,table,
Paranaguá,Brazil,table,
Franco da Rocha,Brazil,table,
Queimados,Brazil,table,
Balneário Camboriú,Brazil,table,
Cametá,Brazil,table,
Vitória de Santo Antão,Brazil,table,
Varginha,Brazil,table,
Campo Largo,Brazil,table,
Teófilo Otoni,Brazil,table,
Três Lagoas,Brazil,table,
Cachoeirinha,Brazil,table,
Caraguatatuba,Brazil,table,
Salto,Brazil,table,
Ji-Paraná,Brazil,table,
Crato,Brazil,table,
Santa Cruz do Sul,Brazil,table,
Conselheiro Lafaiete,Brazil,table,
Itapipoca,Brazil,table,
Araruama,Brazil,table,
Resende,Brazil,table,
Barcarena,Brazil,table,
Jaú,Brazil,table,
Altamira,Brazil,table,
Vespasiano,Brazil,table,
Sapucaia do Sul,Brazil,table,
Araras,Brazil,table,
Guarapari,Brazil,table,
Apucarana,Brazil,table,
Sabará,Brazil,table,
Itaituba,Brazil,table,
São Mateus,Brazil,table,
Votorantim,Brazil,table,
Bragança,Brazil,table,
Sertãozinho,Brazil,table,
Valinhos,Brazil,table,
Pinhais,Brazil,table,
Barbacena,Brazil,table,
Colatina,Brazil,table,
Tatuí,Brazil,table,
Bento Gonçalves,Brazil,table,
Barretos,Brazil,table,
Itatiba,Brazil,table,
Sarandi,Brazil,table,
Piraquara,Brazil,table,
Almirante Tamandaré,Brazil,table,
Itaguaí,Brazil,table,
Arapongas,Brazil,table,
São Gonçalo do Amarante,Brazil,table,
Birigui,Brazil,table,
Araguari,Brazil,table,
Igarassu,Brazil,table,
Jandira,Brazil,table,
Umuarama,Brazil,table,
Bagé,Brazil,table,
Guaratinguetá,Brazil,table,
Sorriso,Brazil,table,
Uruguaiana,Brazil,table,
Catalão,Brazil,table,
Eunápolis,Brazil,table,
Formosa,Brazil,table,
Simões Filho,Brazil,table,
Várzea Paulista,Brazil,table,
Catanduva,Brazil,table,
Nova Lima,Brazil,table,
Paulo Afonso,Brazil,table,
Marituba,Brazil,table,
Ribeirão Pires,Brazil,table,
Santana,Brazil,table,
Codó,Brazil,table,
São Lourenço da Mata,Brazil,table,
Itabira,Brazil,table,
Araxá,Brazil,table,
Itanhaém,Brazil,table,
Luís Eduardo Magalhães,Brazil,table,
Passos,Brazil,table,
Paulínia,Brazil,table,
Tubarão,Brazil,table,
Cubatão,Brazil,table,
Breves,Brazil,table,
Camboriú,Brazil,table,
Nova Serrana,Brazil,table,
Paragominas,Brazil,table,
Tangará da Serra,Brazil,table,
Itacoatiara,Brazil,table,
Itumbiara,Brazil,table,
Cambé,Brazil,table,
Manacapuru,Brazil,table,
Planaltina,Brazil,table,
São Pedro da Aldeia,Brazil,table,
Açailândia,Brazil,table,
Jataí,Brazil,table,
Lavras,Brazil,table,
Erechim,Brazil,table,
Santo Antônio de Jesus,Brazil,table,
Maranguape,Brazil,table,
Ariquemes,Brazil,table,
Coronel Fabriciano,Brazil,table,
Vilhena,Brazil,table,
Itabaiana,Brazil,table,
Muriaé,Brazil,table,
Patos,Brazil,table,
Bacabal,Brazil,table,
Itaperuna,Brazil,table,
Ubá,Brazil,table,
Novo Gama,Brazil,table,
Ourinhos,Brazil,table,
Poá,Brazil,table,
Ituiutaba,Brazil,table,
Balsas,Brazil,table,
Ipojuca,Brazil,table,
Lagarto,Brazil,table,
Caldas Novas,Brazil,table,
Assis,Brazil,table,
Santa Cruz do Capibaribe,Brazil,table,
Abreu e Lima,Brazil,table,
Campo Mourão,Brazil,table,
Itaúna,Brazil,table,
Aracruz,Brazil,table,
Iguatu,Brazil,table,
Japeri,Brazil,table,
Pará de Minas,Brazil,table,
Parintins,Brazil,table,
Leme,Brazil,table,
Francisco Beltrão,Brazil,table,
São Cristóvão,Brazil,table,
Votuporanga,Brazil,table,
Minas Gerais,Brazil,table,
Rio Grande do Sul,Brazil,table,
Bahia,Brazil,table,
Goiás,Brazil,table,
Pará,Brazil,table,
Espírito Santo,Brazil,table,
